date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Iceland,1801,0,10,0
2020/01/01,India,46433,3900,1568,195
2020/01/01,India,49391,2958,1694,126
2020/01/01,India,52952,3561,1783,89
2020/01/01,India,56342,3390,1886,103
2020/01/01,India,59662,3320,1981,95
2020/01/01,India,62939,3277,2109,128
2020/01/01,Indonesia,11587,395,864,19
2020/01/01,Indonesia,12071,484,872,8
2020/01/01,Indonesia,12438,367,895,23
2020/01/01,Indonesia,12776,338,930,35
2020/01/01,Indonesia,13112,336,943,13
2020/01/01,Indonesia,13645,533,959,16
2020/01/01,Iran(IslamicRepublicof),98647,1223,6277,74
2020/01/01,Iran(IslamicRepublicof),99970,1323,6340,63
2020/01/01,Iraq,2346,127,98,3
2020/01/01,Iraq,2431,85,102,4
2020/01/01,Iraq,2480,49,102,0
2020/01/01,Iraq,2543,63,102,0
2020/01/01,Iraq,2603,60,104,2
2020/01/01,Iraq,2679,76,107,3
2020/01/01,Ireland,21722,216,1319,16
2020/01/01,Ireland,22248,265,1375,36
2020/01/01,Ireland,22385,137,1403,28
2020/01/01,Ireland,22541,156,1429,26
2020/01/01,Ireland,22760,219,1446,17
2020/01/01,IsleofMan,325,4,23,0
2020/01/01,Israel,16346,32,239,1
2020/01/01,Israel,16444,0,245,0
2020/01/01,Italy,211938,1221,29079,195
2020/01/01,Italy,213013,1075,29315,236
2020/01/01,Italy,214457,1444,29684,369
2020/01/01,Italy,215858,1401,29958,274
2020/01/01,Italy,217185,1327,30201,243
2020/01/01,Italy,218268,1083,30395,194
2020/01/01,Jamaica,469,6,9,1
2020/01/01,Jamaica,473,2,9,0
2020/01/01,Jamaica,488,10,9,0
2020/01/01,Jamaica,490,2,9,0
2020/01/01,Japan,15231,174,521,11
2020/01/01,Japan,15354,123,543,22
2020/01/01,Jersey,293,1,24,0
2020/01/01,Jordan,465,4,9,0
2020/01/01,Jordan,471,6,9,0
2020/01/01,Jordan,473,2,9,0
2020/01/01,Jordan,494,21,9,0
2020/01/01,Jordan,508,14,9,0
2020/01/01,Jordan,522,14,9,0
2020/01/01,Kazakhstan,4578,69,30,0
2020/01/01,Kenya,490,24,24,0
2020/01/01,Kenya,535,45,23,-1
